,text,labels
1710,Оплачу по  карте. Заранее спасибо,Способы оплаты
844,['Вы обещали вернуть 300 р. на карту Номер карты : 4072 3408 92'],Инцидент
1049,['вы мне сумму так и написали'],Сумма
515,['? Сбербанк ?'],Реквизиты
430,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
865,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
208,"ок,закажу,как деньги появятся",Статус оплаты
1190,['вы мне сумму и написали ?'],Сумма
1740,А оплачивать как ?,Способы оплаты
1707,То есть я выбираю вещь. Скидываю на ваш счет сто процентную оплату. После чего вы отправляете посылку. И здесь при получении я еще оплачиваю услуги доставки на почте.,Способы оплаты
1684,А на карту вам перевод или на определенный счёт,Способы оплаты
646,Хорошо) скиньте мне номер карты или счета для оплаты пожалуйста.,Реквизиты
789,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
323,"Я вчера превела деньги , мне менеджер не отвечает",Статус оплаты
154,"['Хорошо , оплачу']",Статус оплаты
1242,['При получении сколько получится сумма ?'],Сумма
1751,"Юля, а оплатить мне на почте при полу ении? Или как?",Способы оплаты
1108,['вы мне сумму так и написали'],Сумма
858,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
1409,['Ну че розыгрыш делаете ?'],Акции / Скидки
1581,['Ну че розыгрыш не ?'],Акции / Скидки
1565,['Ну розыгрыш не делаете ?'],Акции / Скидки
522,['******* ? ?'],Реквизиты
528,['******* Сбербанк'],Реквизиты
1983,Я лучше на карту Вам оплачу :))),Способы оплаты
1486,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
1866,мне сейчас нужно оплатить доставку или как?а то девушка говорит что не нужно :),Способы оплаты
44,"['Хорошо , сейчас']",Статус оплаты
93,['Оплату 300 за почту на карту так устроит'],Статус оплаты
187,Ваши денюжки пришли,Статус оплаты
1921,"Я только так могу, скинула с карты на карту а щас не могу найти историю переводов",Способы оплаты
1353,['Ну че розыгрыш не делаете'],Акции / Скидки
1119,['вы мне сумму так написали ?'],Сумма
839,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
1223,['мне сумму так и написали ?'],Сумма
1414,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
1417,['А по стоимости ? Сейчас у вас на все ?'],Акции / Скидки
961,"Конечно нужен,отправляйте",Инцидент
1229,['При получении сколько получится сумма ?'],Сумма
257,Вы перевели мне денюжку?,Статус оплаты
340,['******* Сбербанк'],Реквизиты
1201,"['При получении , получится сумма ?']",Сумма
1434,['че розыгрыш не делаете ?'],Акции / Скидки
767,"['давайте сейчас решим , а то завтра не ответить']",Инцидент
197,Сейчас карты нет,Статус оплаты
633,Номер карты ********** ****** ******** *********,Реквизиты
1965,Деньги высылать когда отправлять будете?,Способы оплаты
339,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1248,"['При получении , сколько сумма ?']",Сумма
158,['Оплату 300 за почту на карту скину так'],Статус оплаты
13,"['Хорошо , оплачу']",Статус оплаты
1606,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
591,Я отправила с карты папы .минахметов юнис,Реквизиты
1898,Оплата сразу или при получении?,Способы оплаты
98,"[', сейчас оплачу']",Статус оплаты
397,"['На карту сбербанка . Напишите , пожалуйста : ) ) )']",Реквизиты
1893,Я согласна как оплата ?,Способы оплаты
1160,"['получении , сколько получится сумма ?']",Сумма
965,Я заблокировал ту карту,Инцидент
218,"Привет, сестра! Извини сегодня целый день без интернета, да деньги приходили 1670, сейчас переведу 2840 рублей",Статус оплаты
1919,Оплату произведу на карту.,Способы оплаты
575,******* ? Сбербанк ?,Реквизиты
449,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1523,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
759,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
118,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
1526,['Ну че не делаете ?'],Акции / Скидки
1124,"['При , сколько получится сумма ?']",Сумма
1800,Оплата удобнее по карте.,Способы оплаты
737,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
1426,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
1792,При получении на почте,Способы оплаты
1247,['При получении сколько получится сумма ?'],Сумма
888,['Вы обещали вернуть 300 р. на карту . Номер карты : 3408 92'],Инцидент
302,"Идёт! Возможно я даже смогу перевести деньги на карту, если это будет возможно.",Статус оплаты
1273,['мне сумму так и написали ?'],Сумма
551,['? Сбербанк ?'],Реквизиты
769,"['сейчас решим , а то завтра не смогу ответить']",Инцидент
479,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1348,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
429,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
1115,['мне сумму так и написали ?'],Сумма
1534,['Ну че розыгрыш не делаете'],Акции / Скидки
111,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
1307,Я заказал форму за 3300 а они написали что сумма к оплате 7970,Сумма
1390,['че розыгрыш не делаете ?'],Акции / Скидки
1820,"Юля, здравствуйте! Можно Вам деньги перевести?",Способы оплаты
1181,['вы мне так и написали ?'],Сумма
1648,Как оплата и доставка ? К новому году скидок нет ?,Акции / Скидки
16,"['Хорошо , оплачу']",Статус оплаты
248,"Я не против,могу отправить",Статус оплаты
1349,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1026,['вы мне сумму так написали ?'],Сумма
627,"Напишите пожалуйста номер карты и реквизиты, куда деньги переводить.",Реквизиты
920,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
428,['На карту сбербанка . Напишите реквизиты пожалуйста : ) ) )'],Реквизиты
407,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
1810,оплатить могу на карту . а примерный срок исполнения заказа какой ?,Способы оплаты
1963,"А если переводом на карту, какие гарантии? Если вдруг не дойдет?",Способы оплаты
1310,Сумма ? Сколько вышло ?,Сумма
1713,А можно оплатить при получении?,Способы оплаты
455,['? Сбербанк ?'],Реквизиты
1380,['Ну че розыгрыш не ?'],Акции / Скидки
1603,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
1912,На карту денег?,Способы оплаты
750,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
165,['Хорошо сейчас оплачу'],Статус оплаты
226,Хорошо.  Завтра оплачу,Статус оплаты
329,Здравствуйте. Хорошо. Оплатила,Статус оплаты
928,['Вы обещали вернуть 300 р. на карту . Номер карты : 3408 92'],Инцидент
1915,Да мне удобнее вам перевести,Способы оплаты
1937,Способ оплаты ?,Способы оплаты
1873,и оплата при получении или по другому?,Способы оплаты
1347,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1364,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
721,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1352,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
454,['******* Сбербанк'],Реквизиты
417,['******* ? ?'],Реквизиты
61,"['Хорошо , сейчас']",Статус оплаты
1308,"Сумма останется прежней , * *** ?",Сумма
262,Хорошо оплату проведу по карте тогда в течении 10 минут. Напишите пожалуйста реквизиты и итоговую сумму,Статус оплаты
1459,['че розыгрыш не делаете ?'],Акции / Скидки
184,"Хорошо , сейчас оплачу",Статус оплаты
123,['Оплату 300 почту на карту скину так устроит'],Статус оплаты
1267,['вы мне сумму так и написали'],Сумма
1859,"Как вам удобнее, могу и при получении на почте",Способы оплаты
349,['******* Сбербанк'],Реквизиты
52,['Оплату 300 за почту на карту так устроит'],Статус оплаты
190,Сейчас оплачу.,Статус оплаты
1656,"Спасибо большое . Ни когда не верила в то , что вообще возможно что-то выиграть . И Вас с наступающим .",Акции / Скидки
311,Я перевела ****,Статус оплаты
157,['Оплату 300 за почту на карту скину устроит'],Статус оплаты
533,"['На сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1103,"['При получении , сколько сумма ?']",Сумма
74,"[', сейчас оплачу']",Статус оплаты
1890,Здравствуйте ! Перевод с карты * **** ***** ******** К . ***** . ** ***** .,Способы оплаты
1950,Давайте картой,Способы оплаты
127,"[', сейчас оплачу']",Статус оплаты
814,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
827,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
198,Может сейчас отправить ? Через **** дней деньги дойдут,Статус оплаты
1263,['мне сумму так и написали ?'],Сумма
73,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
625,"Хотя, нет. Давайте на карту. Напишите стоимость, пожалуйста и номер карты)",Реквизиты
1127,['вы мне сумму и написали ?'],Сумма
1288,['вы мне так и написали ?'],Сумма
1194,['вы мне так и написали ?'],Сумма
1406,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
1402,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
1230,"['При , сколько получится сумма ?']",Сумма
1991,Оплата при получении на почте,Способы оплаты
1586,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1770,Юлька можешь мою карту прислать,Способы оплаты
739,"['давайте сейчас , а то завтра не смогу ответить']",Инцидент
796,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
693,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
1316,А стоимость какая ?,Сумма
818,['Вы обещали вернуть 300 р. на карту Номер карты : 4072 3408 92'],Инцидент
1989,Я лучше на карту Вам оплачу :))),Способы оплаты
369,['******* Сбербанк'],Реквизиты
808,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
776,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
325,А на карту как срочно?я смогу на следующей неделе?налоги до 30))),Статус оплаты
611,номер карты ?,Реквизиты
1835,Лучше переведу вам на карту перед отправкой,Способы оплаты
403,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1902,Давайте на почте оплачу,Способы оплаты
807,['Вы обещали вернуть 300 р. на карту . Номер карты : 3408 92'],Инцидент
1397,['Ну розыгрыш не делаете ?'],Акции / Скидки
1592,['Ну че розыгрыш не ?'],Акции / Скидки
1757,Оплата при получении на почте,Способы оплаты
1394,['Ну че не делаете ?'],Акции / Скидки
1827,Оплата при получении,Способы оплаты
423,"['карту сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1052,['вы сумму так и написали ?'],Сумма
1058,"['При получении , сколько получится ?']",Сумма
1283,['вы мне сумму так и ?'],Сумма
1652,"у вас никаких акций перед новым годом не проходит случайно ? Может быть написать что-то об этом , если проходят .",Акции / Скидки
736,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
1494,['Ну че розыгрыш не ?'],Акции / Скидки
817,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
1630,['Ну че не делаете ?'],Акции / Скидки
1734,Когда и куда отправлять деньги? Есть ли гарантия,Способы оплаты
1260,"['При , сколько получится сумма ?']",Сумма
980,Я сегодня кажется связалась с мошенниками ...,Инцидент
192,"Приветствую! Всё верно, можно переводить.",Статус оплаты
1778,Оплата картой,Способы оплаты
1084,"['При получении , сколько получится ?']",Сумма
603,Эм...номер карты верный вы мне написали?,Реквизиты
1142,['мне сумму так и написали ?'],Сумма
341,['******* Сбербанк'],Реквизиты
501,['******* ? ?'],Реквизиты
594,Сбербанк Онлайн . ******* ********** М . перевел ( а ) Вам ******* RUB,Реквизиты
1735,Оплачу на почте,Способы оплаты
1733,А оплатить проще будет яеркз почту,Способы оплаты
1362,['Ну че розыгрыш делаете ?'],Акции / Скидки
881,"['давайте сейчас , а то завтра не смогу ответить']",Инцидент
110,['Оплату 300 за почту на скину так устроит'],Статус оплаты
763,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
727,['Вы обещали вернуть 300 р. на . Номер карты : 4072 3408 92'],Инцидент
26,"[', сейчас оплачу']",Статус оплаты
1505,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
1326,"А если на карту,то 590?без комиссии?",Сумма
1178,"['При получении , сколько сумма ?']",Сумма
169,['Оплату за почту на карту скину так устроит'],Статус оплаты
1412,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1056,"['При получении , сколько получится сумма']",Сумма
1689,Оплата при получении на почте.,Способы оплаты
490,['******* Сбербанк'],Реквизиты
1461,['А по стоимости ? Сейчас вас скидки на все ?'],Акции / Скидки
1082,"['При получении , сколько получится сумма']",Сумма
890,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
765,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
748,['Вы обещали вернуть 300 р. на карту . Номер : 4072 3408 92'],Инцидент
492,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
494,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
1416,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
1961,Оплата картой,Способы оплаты
1594,['Ну че розыгрыш не делаете'],Акции / Скидки
1022,"['При получении , сколько получится ?']",Сумма
263,С ******* на сбербанк деньги доходят в течение ** дней,Статус оплаты
196,"Юлечка, отправляйте, я после 2-х оплачу. Это точно, карта у вас сбербанковская.",Статус оплаты
159,['Оплату 300 за почту на карту так устроит'],Статус оплаты
1096,['вы мне сумму так написали ?'],Сумма
1345,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1064,"['При получении , сколько сумма ?']",Сумма
244,Сейчас переведу ...,Статус оплаты
80,"[', сейчас оплачу']",Статус оплаты
347,"['На сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1808,"Отправьте пожалуйста телеграмму, я оплачу",Способы оплаты
1590,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
834,"['сейчас решим , а то завтра не смогу ответить']",Инцидент
695,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
820,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
436,['******* Сбербанк'],Реквизиты
1356,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
1777,"Извините конечно могла бы и сразу оплатить , но увереннее наложенным лучше переплачу . Самими понимаете наверно мошенников много",Способы оплаты
1743,"адрес тот же, оплатим на почте, если можно.",Способы оплаты
1060,['При получении сколько получится сумма ?'],Сумма
1272,"['При получении , сколько сумма ?']",Сумма
1241,['вы мне сумму так и ?'],Сумма
1762,как оплатить это .Или все приходит новой почтой и оплачивается через курьера ?,Способы оплаты
109,['Оплату 300 за почту на карту скину устроит'],Статус оплаты
1369,['А по ? Сейчас у вас скидки на все ?'],Акции / Скидки
217,"да , деньги пришли . а сколько будет идти посылка ?",Статус оплаты
1245,['вы мне сумму так написали ?'],Сумма
42,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
967,Скажите мне пожалуйста что делать для возврата,Инцидент
840,['Вы обещали вернуть 300 р. на карту . карты : 4072 3408 92'],Инцидент
305,Здравствуйте. Заказ оплатила. Пришли деньги?,Статус оплаты
202,"Хорошо , завтра оплачу",Статус оплаты
717,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
963,Ну давайте оформлять возврат,Инцидент
83,['Оплату 300 за почту на скину так устроит'],Статус оплаты
1098,"['При получении , сколько получится ?']",Сумма
982,И исчезли денюшки,Инцидент
1855,"Т . е . я получаю , вскрываю там же и отдаю неподошедший вместе с документами , правильно ? Сколько нужно будет доплатить ?",Способы оплаты
724,['Вы обещали вернуть р. на карту . Номер карты : 4072 3408 92'],Инцидент
240,"Ок, спасибо. После оплаты - сегодня/завтра - папишу.",Статус оплаты
1941,"Я могу и вам на карту, просто я первый раз заказываю, раньше мне шили костюмы в ателье. Главное чтобы деньги дошли. А оплата при получении?",Способы оплаты
1572,['Ну че розыгрыш делаете ?'],Акции / Скидки
425,['******* ? ?'],Реквизиты
443,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
1623,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
1540,['Ну розыгрыш не делаете ?'],Акции / Скидки
848,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
752,"['сейчас решим , а то завтра не смогу ответить']",Инцидент
937,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1627,['Ну че розыгрыш не ?'],Акции / Скидки
1783,"А можно 50% оплатить,а при получении остальные,что бы быть уверенной",Способы оплаты
255,"Деньги переводите на почту, где буду получать посылку",Статус оплаты
281,"А мне деньги уже пришли , как узнать когда можно вернуть рубашечки ?",Статус оплаты
710,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
1392,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
805,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
949,['Вы обещали вернуть 300 р. на . Номер карты : 4072 3408 92'],Инцидент
1234,"['При получении , сколько получится сумма']",Сумма
542,['? Сбербанк ?'],Реквизиты
922,"['давайте решим , а то завтра не смогу ответить']",Инцидент
1640,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
791,['Вы обещали вернуть 300 р. на карту Номер карты : 4072 3408 92'],Инцидент
565,['******* ? ?'],Реквизиты
684,['Вы обещали 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1297,"['При получении , сколько получится ?']",Сумма
1485,['А по стоимости ? Сейчас у скидки на все ?'],Акции / Скидки
235,Я оплачиваю,Статус оплаты
130,['Оплату 300 за почту на карту скину устроит'],Статус оплаты
1704,Оплата как производиться?при получении на почте или сразу предоплата?кааие гарантии,Способы оплаты
1168,['вы мне сумму и написали ?'],Сумма
1591,['Ну че розыгрыш не ?'],Акции / Скидки
137,['Оплату 300 за на карту скину так устроит'],Статус оплаты
439,"['На карту сбербанка . реквизиты , пожалуйста : ) ) )']",Реквизиты
136,['Оплату 300 за на карту скину так устроит'],Статус оплаты
1496,['А по стоимости ? у вас скидки на все ?'],Акции / Скидки
1932,Оплата при получении на почте,Способы оплаты
1516,['Ну че розыгрыш не делаете'],Акции / Скидки
1722,При получении на почте),Способы оплаты
1092,"['При получении , сколько сумма ?']",Сумма
1309,Если на карту вам перевести всю сумму?,Сумма
293,Вы перевели мне денюжку?,Статус оплаты
1574,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1548,['А по стоимости ? Сейчас у вас на все ?'],Акции / Скидки
269,как перечислю отпишусь,Статус оплаты
912,"['давайте сейчас решим , то завтра не смогу ответить']",Инцидент
488,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
1017,['При получении сколько получится сумма ?'],Сумма
473,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
1036,['вы мне сумму так и написали'],Сумма
1507,['Ну че не делаете ?'],Акции / Скидки
1510,['А стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
1499,['Ну че розыгрыш не ?'],Акции / Скидки
639,напишите пожалуйста номер номер карты,Реквизиты
970,"Юля, Вы мне ответите что-то?",Инцидент
831,"['давайте сейчас решим , а то завтра не смогу']",Инцидент
481,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
76,"['Хорошо , сейчас']",Статус оплаты
1067,['вы мне сумму так написали ?'],Сумма
950,['обещали вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
1269,['вы сумму так и написали ?'],Сумма
387,['******* Сбербанк'],Реквизиты
478,['? Сбербанк ?'],Реквизиты
112,['Оплату за почту на карту скину так устроит'],Статус оплаты
526,['******* ? ?'],Реквизиты
442,['******* Сбербанк'],Реквизиты
711,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 92'],Инцидент
1674,А платёж как осуществляется?наложенным платежем ?,Способы оплаты
1186,['При получении сколько получится сумма ?'],Сумма
994,"Юля, добрый день! Посылка пришла, но с наложенным платежом. Я деньги Вам переводила",Инцидент
1943,"Добрый день,давайте я на почте оплачу при получении,не много с финансами не подросчитала.",Способы оплаты
318,Перевел! Подтвердите пожалуйста получение.,Статус оплаты
1659,по акции идут ?,Акции / Скидки
1889,Оплата при получении на почте,Способы оплаты
1931,Оплачу на карту .,Способы оплаты
1837,"Деньги перед отправкой хочу переслать ? Не наложенным платежом . Напишете , когда пересылать . И **** .",Способы оплаты
227,На карту сейчас прямо нужно?,Статус оплаты
687,['Вы обещали вернуть 300 р. на карту . Номер карты : 3408 92'],Инцидент
1302,"['При получении , получится сумма ?']",Сумма
1972,на почте можно будет при получении без комиссии отплатить?,Способы оплаты
1306,и сумма,Сумма
166,['Оплату 300 за на карту скину так устроит'],Статус оплаты
350,['******* Сбербанк'],Реквизиты
330,Здравствуйте !только что перевела вам деньги,Статус оплаты
1221,['вы мне сумму так и написали'],Сумма
301,"Хорошо , сейчас переведу",Статус оплаты
1002,['При получении сколько получится сумма ?'],Сумма
206,Я могу перевести в понедельник или во вт?,Статус оплаты
868,['Вы обещали вернуть 300 р. на карту . Номер карты : 4072 3408'],Инцидент
1801,А оплату скинем на карту,Способы оплаты
1240,"['При получении , сколько получится ?']",Сумма
495,"['На сбербанка . Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1551,['Ну че розыгрыш не ?'],Акции / Скидки
1010,['вы сумму так и написали ?'],Сумма
1802,Давайте наложкой первый раз . А то страшно я уже тпюак отправляла,Способы оплаты
618,Сбербанк ?,Реквизиты
272,"Мне оплатить, когда отправлять будете ?!)",Статус оплаты
1504,['Ну че розыгрыш не ?'],Акции / Скидки
1018,"['При получении , получится сумма ?']",Сумма
251,"Все так же, я сама получу так как деньги  у меня",Статус оплаты
1843,"Оплата при получении? И есть ли возможность возврата, если не подойдет по размеру?",Способы оплаты
846,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
1202,['вы мне сумму так и написали'],Сумма
511,['******* Сбербанк'],Реквизиты
794,['Вы обещали вернуть 300 р. на карту . Номер : 4072 3408 92'],Инцидент
1448,['Ну че не делаете ?'],Акции / Скидки
1294,['вы мне сумму так написали ?'],Сумма
540,['******* Сбербанк'],Реквизиты
421,['******* Сбербанк'],Реквизиты
49,"[', сейчас оплачу']",Статус оплаты
404,['******* Сбербанк'],Реквизиты
1906,И давайте при получении оплату . Дома только наличка . На карту не закину сегодня,Способы оплаты
19,"[', сейчас оплачу']",Статус оплаты
1291,['вы мне сумму так и ?'],Сумма
1858,Оплачу по карте,Способы оплаты
1875,Давайте лучше  наложным платежем на почте,Способы оплаты
774,"['давайте сейчас решим , а то завтра смогу ответить']",Инцидент
105,['300 за почту на карту скину так устроит'],Статус оплаты
600,Оплатить все сразу. Где номер карты найти?,Реквизиты
368,['******* ? ?'],Реквизиты
986,Пока отказ.Что то я свои финансовые возможности не рассчитала ...после полученной зарплаты((((,Инцидент
1930,Давайте картой,Способы оплаты
509,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1276,"['При получении , сколько получится ?']",Сумма
215,Сейчас оплачу,Статус оплаты
1407,['Ну че розыгрыш делаете ?'],Акции / Скидки
744,['Вы вернуть 300 р. на карту . Номер карты : 4072 3408 92'],Инцидент
898,['Вы обещали вернуть 300 р. на . Номер карты : 4072 3408 92'],Инцидент
288,сейчас закину на карту себе и сделаю перевод:),Статус оплаты
964,Что то мало опять??,Инцидент
660,Нужны ваши реквизиты,Реквизиты
1904,И как оплатить? Или оплата при получении?,Способы оплаты
1624,['А по стоимости ? Сейчас у вас скидки на ?'],Акции / Скидки
465,['******* ? ?'],Реквизиты
571,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
598,Так номер карты напишите,Реквизиты
247,Я могу перевести в понедельник или во вт?,Статус оплаты
1210,['вы мне сумму так и ?'],Сумма
560,['? Сбербанк ?'],Реквизиты
1679,Юлька привет! Скажи пожалуйста ты можешь по сбербанк онлайну оплатить телефон мне 1000 руб,Способы оплаты
905,['Вы обещали вернуть 300 р. на карту . Номер карты : 3408 92'],Инцидент
121,['Оплату 300 за почту на карту скину так'],Статус оплаты
357,['******* Сбербанк'],Реквизиты
8,"['Хорошо , оплачу']",Статус оплаты
683,"['давайте сейчас решим , а то не смогу ответить']",Инцидент
1340,['Ну че розыгрыш делаете ?'],Акции / Скидки
1884,"Можно сейчас оплатить на карту Сбербанк банка? ( я имею ввиду перед отправкой , что бы на почте ничего не платить )",Способы оплаты
413,"['На карту сбербанка Напишите реквизиты , пожалуйста : ) ) )']",Реквизиты
1187,"['При получении , сколько сумма ?']",Сумма
177,"[', сейчас оплачу']",Статус оплаты
1706,"Юля, здравствуйте! Можно Вам деньги перевести?",Способы оплаты
309,"Давайте из плотной, куда деньги перевести?",Статус оплаты
62,['Оплату 300 за почту карту скину так устроит'],Статус оплаты
